title,categories,manufacturer,brand,category_code,brand01,title_clean,categories_clean,manufacturer_clean,brand_clean,category_code_clean,brand01_clean,max_match_score,match_count
"JBL Wireless Over-Ear Headphones with Multipoint & LDAC (2025), 40h Battery",electronics > headphones,JBL,JBL,,,jbl wireless over ear headphones with multipoint   ldac  2025  40h battery,electronics   headphones,jbl,jbl,,,59.25925925925925,0
Amazfit Classic 44mm Smartwatch (2025) with AMOLED & GPS + Cellular,electronics > watches,Amazfit,Amazfit,,,amazfit classic 44mm smartwatch  2025  with amoled   gps   cellular,electronics   watches,amazfit,amazfit,,,50.0,0
"Hisense 85"" 4K LED Roku TV Series 6 (2025)",electronics > televisions,Hisense,Hisense,,,hisense 85  4k led roku tv series 6  2025,electronics   televisions,hisense,hisense,,,50.0,0
Xiaomi 19 Plus 256GB/16GB 5G Smartphone (2023),electronics > mobile phones,Xiaomi,Xiaomi,,,xiaomi 19 plus 256gb 16gb 5g smartphone  2023,electronics   mobile phones,xiaomi,xiaomi,,,72.0,0
"SteelSeries Wireless On-Ear Headphones with ANC & Hi-Res (2024), 20h Battery",electronics > headphones,SteelSeries,SteelSeries,,,steelseries wireless on ear headphones with anc   hi res  2024  20h battery,electronics   headphones,steelseries,steelseries,,,62.5,0
Fossil Active 40mm Smartwatch (2025) with GPS + Cellular & SpO2,electronics > watches,Fossil,Fossil,,,fossil active 40mm smartwatch  2025  with gps   cellular   spo2,electronics   watches,fossil,fossil,,,41.666666666666664,0
"Panasonic 50"" 8K OLED Fire TV Series 6 (2024)",electronics > televisions,Panasonic,Panasonic,,,panasonic 50  8k oled fire tv series 6  2024,electronics   televisions,panasonic,panasonic,,,44.44444444444444,0
Vivo 14 Pro 256GB/16GB 5G Smartphone (2024),electronics > mobile phones,Vivo,Vivo,,,vivo 14 pro 256gb 16gb 5g smartphone  2024,electronics   mobile phones,vivo,vivo,,,72.0,0
"Bowers & Wilkins Wireless On-Ear Headphones with LDAC & Hi-Res (2025), 24h Battery",electronics > headphones,Bowers & Wilkins,Bowers & Wilkins,,,bowers   wilkins wireless on ear headphones with ldac   hi res  2025  24h battery,electronics   headphones,bowers   wilkins,bowers   wilkins,,,62.5,0
Suunto Sport 40mm Smartwatch (2025) with GPS & GPS + Cellular,electronics > watches,Suunto,Suunto,,,suunto sport 40mm smartwatch  2025  with gps   gps   cellular,electronics   watches,suunto,suunto,,,50.0,0
"Sony 85"" 4K OLED Tizen Series 9 (2024)",electronics > televisions,Sony,Sony,,,sony 85  4k oled tizen series 9  2024,electronics   televisions,sony,sony,,,50.0,0
Motorola 20 Ultra 64GB/4GB 5G Smartphone (2025),electronics > mobile phones,Motorola,Motorola,,,motorola 20 ultra 64gb 4gb 5g smartphone  2025,electronics   mobile phones,motorola,motorola,,,72.0,0
"Skullcandy Wireless On-Ear Headphones with Spatial Audio & LDAC (2024), 20h Battery",electronics > headphones,Skullcandy,Skullcandy,,,skullcandy wireless on ear headphones with spatial audio   ldac  2024  20h battery,electronics   headphones,skullcandy,skullcandy,,,62.5,0
Fossil Classic 45mm Smartwatch (2025) with GPS & AMOLED,electronics > watches,Fossil,Fossil,,,fossil classic 45mm smartwatch  2025  with gps   amoled,electronics   watches,fossil,fossil,,,41.666666666666664,0
"Sony 75"" 8K LED Fire TV Series 9 (2025)",electronics > televisions,Sony,Sony,,,sony 75  8k led fire tv series 9  2025,electronics   televisions,sony,sony,,,50.0,0
Oppo 14 Ultra 128GB/16GB 5G Smartphone (2025),electronics > mobile phones,Oppo,Oppo,,,oppo 14 ultra 128gb 16gb 5g smartphone  2025,electronics   mobile phones,oppo,oppo,,,72.0,0
"Sony Wireless In-Ear Headphones with LDAC & Multipoint (2023), 20h Battery",electronics > headphones,Sony,Sony,,,sony wireless in ear headphones with ldac   multipoint  2023  20h battery,electronics   headphones,sony,sony,,,62.5,0
Amazfit Gen 9 44mm Smartwatch (2023) with GPS + Cellular & GPS,electronics > watches,Amazfit,Amazfit,,,amazfit gen 9 44mm smartwatch  2023  with gps   cellular   gps,electronics   watches,amazfit,amazfit,,,41.666666666666664,0
"Sharp 43"" 8K LED Smart TV Series 11 (2025)",electronics > televisions,Sharp,Sharp,,,sharp 43  8k led smart tv series 11  2025,electronics   televisions,sharp,sharp,,,44.44444444444444,0
Xiaomi 14 SE 512GB/16GB 5G Smartphone (2023),electronics > mobile phones,Xiaomi,Xiaomi,,,xiaomi 14 se 512gb 16gb 5g smartphone  2023,electronics   mobile phones,xiaomi,xiaomi,,,72.0,0
"Apple Wireless In-Ear Headphones with Low-Latency & Multipoint (2025), 24h Battery",electronics > headphones,Apple,Apple,,,apple wireless in ear headphones with low latency   multipoint  2025  24h battery,electronics   headphones,apple,apple,,,100.0,0
Fitbit Trail 44mm Smartwatch (2024) with Heart Rate & AMOLED,electronics > watches,Fitbit,Fitbit,,,fitbit trail 44mm smartwatch  2024  with heart rate   amoled,electronics   watches,fitbit,fitbit,,,45.16129032258065,0
"Xiaomi 65"" 4K LED Google TV Series 7 (2023)",electronics > televisions,Xiaomi,Xiaomi,,,xiaomi 65  4k led google tv series 7  2023,electronics   televisions,xiaomi,xiaomi,,,44.44444444444444,0
Apple 21 Max 128GB/16GB 5G Smartphone (2023),electronics > mobile phones,Apple,Apple,,,apple 21 max 128gb 16gb 5g smartphone  2023,electronics   mobile phones,apple,apple,,,100.0,0
"Sony Wireless Over-Ear Headphones with Spatial Audio & ANC (2023), 24h Battery",electronics > headphones,Sony,Sony,,,sony wireless over ear headphones with spatial audio   anc  2023  24h battery,electronics   headphones,sony,sony,,,59.25925925925925,0
Apple Gen 5 40mm Smartwatch (2024) with SpO2 & GPS + Cellular,electronics > watches,Apple,Apple,,,apple gen 5 40mm smartwatch  2024  with spo2   gps   cellular,electronics   watches,apple,apple,,,100.0,0
"Vizio 50"" 8K QLED Google TV Series 11 (2024)",electronics > televisions,Vizio,Vizio,,,vizio 50  8k qled google tv series 11  2024,electronics   televisions,vizio,vizio,,,44.44444444444444,0
Google 15 Lite 64GB/12GB 5G Smartphone (2024),electronics > mobile phones,Google,Google,,,google 15 lite 64gb 12gb 5g smartphone  2024,electronics   mobile phones,google,google,,,72.0,0
"Audio-Technica Wireless On-Ear Headphones with Multipoint & ANC (2025), 60h Battery",electronics > headphones,Audio-Technica,Audio-Technica,,,audio technica wireless on ear headphones with multipoint   anc  2025  60h battery,electronics   headphones,audio technica,audio technica,,,62.5,0
Samsung Sport 45mm Smartwatch (2023) with ECG & AMOLED,electronics > watches,Samsung,Samsung,,,samsung sport 45mm smartwatch  2023  with ecg   amoled,electronics   watches,samsung,samsung,,,41.666666666666664,0
"TCL 50"" 8K QLED Google TV Series 6 (2024)",electronics > televisions,TCL,TCL,,,tcl 50  8k qled google tv series 6  2024,electronics   televisions,tcl,tcl,,,44.44444444444444,0
Vivo 19 Pro 64GB/12GB 5G Smartphone (2025),electronics > mobile phones,Vivo,Vivo,,,vivo 19 pro 64gb 12gb 5g smartphone  2025,electronics   mobile phones,vivo,vivo,,,72.0,0
"Bose Wireless Over-Ear Headphones with Spatial Audio & Low-Latency (2023), 20h Battery",electronics > headphones,Bose,Bose,,,bose wireless over ear headphones with spatial audio   low latency  2023  20h battery,electronics   headphones,bose,bose,,,59.25925925925925,0
Fitbit Classic 45mm Smartwatch (2023) with Heart Rate & ECG,electronics > watches,Fitbit,Fitbit,,,fitbit classic 45mm smartwatch  2023  with heart rate   ecg,electronics   watches,fitbit,fitbit,,,42.85714285714286,0
"Philips 43"" 8K QLED Smart TV Series 7 (2024)",electronics > televisions,Philips,Philips,,,philips 43  8k qled smart tv series 7  2024,electronics   televisions,philips,philips,,,46.15384615384615,0
Infinix 24 Plus 256GB/12GB 5G Smartphone (2025),electronics > mobile phones,Infinix,Infinix,,,infinix 24 plus 256gb 12gb 5g smartphone  2025,electronics   mobile phones,infinix,infinix,,,72.0,0
"HyperX Wireless In-Ear Headphones with Spatial Audio & Multipoint (2023), 24h Battery",electronics > headphones,HyperX,HyperX,,,hyperx wireless in ear headphones with spatial audio   multipoint  2023  24h battery,electronics   headphones,hyperx,hyperx,,,62.5,0
Huawei Classic 40mm Smartwatch (2023) with SpO2 & ECG,electronics > watches,Huawei,Huawei,,,huawei classic 40mm smartwatch  2023  with spo2   ecg,electronics   watches,huawei,huawei,,,41.666666666666664,0
"Panasonic 43"" 8K LED Roku TV Series 6 (2025)",electronics > televisions,Panasonic,Panasonic,,,panasonic 43  8k led roku tv series 6  2025,electronics   televisions,panasonic,panasonic,,,44.44444444444444,0
Apple 20 Lite 128GB/4GB 5G Smartphone (2025),electronics > mobile phones,Apple,Apple,,,apple 20 lite 128gb 4gb 5g smartphone  2025,electronics   mobile phones,apple,apple,,,100.0,0
"Bose Wireless In-Ear Headphones with Hi-Res & Multipoint (2025), 20h Battery",electronics > headphones,Bose,Bose,,,bose wireless in ear headphones with hi res   multipoint  2025  20h battery,electronics   headphones,bose,bose,,,62.5,0
Fitbit Adventure 47mm Smartwatch (2023) with GPS & SpO2,electronics > watches,Fitbit,Fitbit,,,fitbit adventure 47mm smartwatch  2023  with gps   spo2,electronics   watches,fitbit,fitbit,,,41.666666666666664,0
"Philips 85"" 8K Mini-LED Google TV Series 10 (2025)",electronics > televisions,Philips,Philips,,,philips 85  8k mini led google tv series 10  2025,electronics   televisions,philips,philips,,,46.15384615384615,0
OnePlus 15 Ultra 512GB/6GB 5G Smartphone (2025),electronics > mobile phones,OnePlus,OnePlus,,,oneplus 15 ultra 512gb 6gb 5g smartphone  2025,electronics   mobile phones,oneplus,oneplus,,,72.72727272727273,0
"SteelSeries Wireless On-Ear Headphones with Multipoint & LDAC (2023), 20h Battery",electronics > headphones,SteelSeries,SteelSeries,,,steelseries wireless on ear headphones with multipoint   ldac  2023  20h battery,electronics   headphones,steelseries,steelseries,,,62.5,0
Suunto Adventure 47mm Smartwatch (2025) with GPS & ECG,electronics > watches,Suunto,Suunto,,,suunto adventure 47mm smartwatch  2025  with gps   ecg,electronics   watches,suunto,suunto,,,50.0,0
"TCL 75"" 4K Mini-LED webOS Series 6 (2023)",electronics > televisions,TCL,TCL,,,tcl 75  4k mini led webos series 6  2023,electronics   televisions,tcl,tcl,,,44.44444444444444,0
OnePlus 16 Pro 512GB/16GB 5G Smartphone (2025),electronics > mobile phones,OnePlus,OnePlus,,,oneplus 16 pro 512gb 16gb 5g smartphone  2025,electronics   mobile phones,oneplus,oneplus,,,72.72727272727273,0
"Apple Wireless In-Ear Headphones with Spatial Audio & Low-Latency (2025), 20h Battery",electronics > headphones,Apple,Apple,,,apple wireless in ear headphones with spatial audio   low latency  2025  20h battery,electronics   headphones,apple,apple,,,100.0,0
Coros Active 49mm Smartwatch (2024) with GPS & GPS + Cellular,electronics > watches,Coros,Coros,,,coros active 49mm smartwatch  2024  with gps   gps   cellular,electronics   watches,coros,coros,,,44.44444444444444,0
"LG 43"" 8K QLED webOS Series 6 (2025)",electronics > televisions,LG,LG,,,lg 43  8k qled webos series 6  2025,electronics   televisions,lg,lg,,,50.0,0
Realme 17 Pro 256GB/16GB 5G Smartphone (2024),electronics > mobile phones,Realme,Realme,,,realme 17 pro 256gb 16gb 5g smartphone  2024,electronics   mobile phones,realme,realme,,,72.0,0
"Apple Wireless Over-Ear Headphones with ANC & Multipoint (2023), 30h Battery",electronics > headphones,Apple,Apple,,,apple wireless over ear headphones with anc   multipoint  2023  30h battery,electronics   headphones,apple,apple,,,100.0,0
Apple Active 42mm Smartwatch (2023) with ECG & AMOLED,electronics > watches,Apple,Apple,,,apple active 42mm smartwatch  2023  with ecg   amoled,electronics   watches,apple,apple,,,100.0,0
"Vizio 75"" 4K OLED Smart TV Series 10 (2023)",electronics > televisions,Vizio,Vizio,,,vizio 75  4k oled smart tv series 10  2023,electronics   televisions,vizio,vizio,,,44.44444444444444,0
Xiaomi 20 Lite 256GB/16GB 5G Smartphone (2025),electronics > mobile phones,Xiaomi,Xiaomi,,,xiaomi 20 lite 256gb 16gb 5g smartphone  2025,electronics   mobile phones,xiaomi,xiaomi,,,72.0,0
"Sennheiser Wireless On-Ear Headphones with Hi-Res & ANC (2024), 30h Battery",electronics > headphones,Sennheiser,Sennheiser,,,sennheiser wireless on ear headphones with hi res   anc  2024  30h battery,electronics   headphones,sennheiser,sennheiser,,,62.5,0
Apple Active 42mm Smartwatch (2025) with ECG & GPS + Cellular,electronics > watches,Apple,Apple,,,apple active 42mm smartwatch  2025  with ecg   gps   cellular,electronics   watches,apple,apple,,,100.0,0
"LG 55"" 4K OLED Google TV Series 11 (2023)",electronics > televisions,LG,LG,,,lg 55  4k oled google tv series 11  2023,electronics   televisions,lg,lg,,,50.0,0
Infinix 14 Plus 64GB/6GB 5G Smartphone (2025),electronics > mobile phones,Infinix,Infinix,,,infinix 14 plus 64gb 6gb 5g smartphone  2025,electronics   mobile phones,infinix,infinix,,,72.0,0
"Beats Wireless On-Ear Headphones with Spatial Audio & Hi-Res (2023), 30h Battery",electronics > headphones,Beats,Beats,,,beats wireless on ear headphones with spatial audio   hi res  2023  30h battery,electronics   headphones,beats,beats,,,62.5,0
Samsung Pro 40mm Smartwatch (2023) with Heart Rate & GPS + Cellular,electronics > watches,Samsung,Samsung,,,samsung pro 40mm smartwatch  2023  with heart rate   gps   cellular,electronics   watches,samsung,samsung,,,43.75,0
"Vizio 55"" 4K Mini-LED Google TV Series 10 (2023)",electronics > televisions,Vizio,Vizio,,,vizio 55  4k mini led google tv series 10  2023,electronics   televisions,vizio,vizio,,,44.44444444444444,0
Oppo 18 Ultra 256GB/4GB 5G Smartphone (2024),electronics > mobile phones,Oppo,Oppo,,,oppo 18 ultra 256gb 4gb 5g smartphone  2024,electronics   mobile phones,oppo,oppo,,,72.0,0
"Beats Wireless In-Ear Headphones with Low-Latency & Multipoint (2025), 60h Battery",electronics > headphones,Beats,Beats,,,beats wireless in ear headphones with low latency   multipoint  2025  60h battery,electronics   headphones,beats,beats,,,62.5,0
Amazfit Sport 40mm Smartwatch (2025) with AMOLED & GPS + Cellular,electronics > watches,Amazfit,Amazfit,,,amazfit sport 40mm smartwatch  2025  with amoled   gps   cellular,electronics   watches,amazfit,amazfit,,,50.0,0
"Hisense 43"" 8K LED webOS Series 11 (2025)",electronics > televisions,Hisense,Hisense,,,hisense 43  8k led webos series 11  2025,electronics   televisions,hisense,hisense,,,50.0,0
OnePlus 18 Max 64GB/12GB 5G Smartphone (2025),electronics > mobile phones,OnePlus,OnePlus,,,oneplus 18 max 64gb 12gb 5g smartphone  2025,electronics   mobile phones,oneplus,oneplus,,,72.72727272727273,0
"JBL Wireless On-Ear Headphones with ANC & Multipoint (2025), 20h Battery",electronics > headphones,JBL,JBL,,,jbl wireless on ear headphones with anc   multipoint  2025  20h battery,electronics   headphones,jbl,jbl,,,62.5,0
Coros Trail 49mm Smartwatch (2024) with ECG & GPS + Cellular,electronics > watches,Coros,Coros,,,coros trail 49mm smartwatch  2024  with ecg   gps   cellular,electronics   watches,coros,coros,,,44.44444444444444,0
"Philips 43"" 8K Mini-LED Fire TV Series 10 (2023)",electronics > televisions,Philips,Philips,,,philips 43  8k mini led fire tv series 10  2023,electronics   televisions,philips,philips,,,46.15384615384615,0
Vivo 20 Ultra 512GB/8GB 5G Smartphone (2024),electronics > mobile phones,Vivo,Vivo,,,vivo 20 ultra 512gb 8gb 5g smartphone  2024,electronics   mobile phones,vivo,vivo,,,72.0,0
"HyperX Wireless On-Ear Headphones with Low-Latency & Hi-Res (2024), 24h Battery",electronics > headphones,HyperX,HyperX,,,hyperx wireless on ear headphones with low latency   hi res  2024  24h battery,electronics   headphones,hyperx,hyperx,,,62.5,0
Fossil Trail 49mm Smartwatch (2025) with GPS + Cellular & SpO2,electronics > watches,Fossil,Fossil,,,fossil trail 49mm smartwatch  2025  with gps   cellular   spo2,electronics   watches,fossil,fossil,,,41.666666666666664,0
"Hisense 65"" 8K LED webOS Series 8 (2023)",electronics > televisions,Hisense,Hisense,,,hisense 65  8k led webos series 8  2023,electronics   televisions,hisense,hisense,,,50.0,0
Infinix 21 Max 256GB/12GB 5G Smartphone (2024),electronics > mobile phones,Infinix,Infinix,,,infinix 21 max 256gb 12gb 5g smartphone  2024,electronics   mobile phones,infinix,infinix,,,72.0,0
"Anker Wireless In-Ear Headphones with Hi-Res & Low-Latency (2025), 40h Battery",electronics > headphones,Anker,Anker,,,anker wireless in ear headphones with hi res   low latency  2025  40h battery,electronics   headphones,anker,anker,,,62.5,0
Garmin Trail 40mm Smartwatch (2025) with AMOLED & SpO2,electronics > watches,Garmin,Garmin,,,garmin trail 40mm smartwatch  2025  with amoled   spo2,electronics   watches,garmin,garmin,,,50.0,0
"Sharp 55"" 4K LED Fire TV Series 6 (2024)",electronics > televisions,Sharp,Sharp,,,sharp 55  4k led fire tv series 6  2024,electronics   televisions,sharp,sharp,,,44.44444444444444,0
Infinix 15 Pro 64GB/4GB 5G Smartphone (2023),electronics > mobile phones,Infinix,Infinix,,,infinix 15 pro 64gb 4gb 5g smartphone  2023,electronics   mobile phones,infinix,infinix,,,72.0,0
"Anker Wireless In-Ear Headphones with ANC & Multipoint (2025), 40h Battery",electronics > headphones,Anker,Anker,,,anker wireless in ear headphones with anc   multipoint  2025  40h battery,electronics   headphones,anker,anker,,,62.5,0
Google Classic 49mm Smartwatch (2024) with ECG & Heart Rate,electronics > watches,Google,Google,,,google classic 49mm smartwatch  2024  with ecg   heart rate,electronics   watches,google,google,,,41.666666666666664,0
"Philips 50"" 4K QLED Smart TV Series 6 (2024)",electronics > televisions,Philips,Philips,,,philips 50  4k qled smart tv series 6  2024,electronics   televisions,philips,philips,,,46.15384615384615,0
Xiaomi 24 SE 512GB/4GB 5G Smartphone (2025),electronics > mobile phones,Xiaomi,Xiaomi,,,xiaomi 24 se 512gb 4gb 5g smartphone  2025,electronics   mobile phones,xiaomi,xiaomi,,,72.0,0
"JBL Wireless Over-Ear Headphones with Multipoint & Hi-Res (2025), 40h Battery",electronics > headphones,JBL,JBL,,,jbl wireless over ear headphones with multipoint   hi res  2025  40h battery,electronics   headphones,jbl,jbl,,,59.25925925925925,0
Coros Adventure 47mm Smartwatch (2025) with AMOLED & Heart Rate,electronics > watches,Coros,Coros,,,coros adventure 47mm smartwatch  2025  with amoled   heart rate,electronics   watches,coros,coros,,,50.0,0
"Xiaomi 65"" 4K OLED Fire TV Series 8 (2024)",electronics > televisions,Xiaomi,Xiaomi,,,xiaomi 65  4k oled fire tv series 8  2024,electronics   televisions,xiaomi,xiaomi,,,44.44444444444444,0
Vivo 24 Pro 256GB/16GB 5G Smartphone (2024),electronics > mobile phones,Vivo,Vivo,,,vivo 24 pro 256gb 16gb 5g smartphone  2024,electronics   mobile phones,vivo,vivo,,,72.0,0
"SteelSeries Wireless Over-Ear Headphones with LDAC & Multipoint (2025), 20h Battery",electronics > headphones,SteelSeries,SteelSeries,,,steelseries wireless over ear headphones with ldac   multipoint  2025  20h battery,electronics   headphones,steelseries,steelseries,,,59.25925925925925,0
Huawei Classic 44mm Smartwatch (2025) with AMOLED & ECG,electronics > watches,Huawei,Huawei,,,huawei classic 44mm smartwatch  2025  with amoled   ecg,electronics   watches,huawei,huawei,,,45.16129032258065,0
"LG 50"" 4K QLED Tizen Series 6 (2025)",electronics > televisions,LG,LG,,,lg 50  4k qled tizen series 6  2025,electronics   televisions,lg,lg,,,50.0,0
Realme 15 Lite 512GB/12GB 5G Smartphone (2024),electronics > mobile phones,Realme,Realme,,,realme 15 lite 512gb 12gb 5g smartphone  2024,electronics   mobile phones,realme,realme,,,72.0,0
"Skullcandy Wireless On-Ear Headphones with Multipoint & ANC (2024), 24h Battery",electronics > headphones,Skullcandy,Skullcandy,,,skullcandy wireless on ear headphones with multipoint   anc  2024  24h battery,electronics   headphones,skullcandy,skullcandy,,,62.5,0
Fossil Gen 7 49mm Smartwatch (2024) with GPS & SpO2,electronics > watches,Fossil,Fossil,,,fossil gen 7 49mm smartwatch  2024  with gps   spo2,electronics   watches,fossil,fossil,,,41.666666666666664,0
"Vizio 43"" 8K Mini-LED Tizen Series 9 (2024)",electronics > televisions,Vizio,Vizio,,,vizio 43  8k mini led tizen series 9  2024,electronics   televisions,vizio,vizio,,,44.44444444444444,0
Realme 23 Max 128GB/12GB 5G Smartphone (2023),electronics > mobile phones,Realme,Realme,,,realme 23 max 128gb 12gb 5g smartphone  2023,electronics   mobile phones,realme,realme,,,72.0,0
"Apple Wireless On-Ear Headphones with Multipoint & ANC (2024), 40h Battery",electronics > headphones,Apple,Apple,,,apple wireless on ear headphones with multipoint   anc  2024  40h battery,electronics   headphones,apple,apple,,,100.0,0
Fossil Trail 42mm Smartwatch (2025) with Heart Rate & GPS + Cellular,electronics > watches,Fossil,Fossil,,,fossil trail 42mm smartwatch  2025  with heart rate   gps   cellular,electronics   watches,fossil,fossil,,,43.75,0
"Xiaomi 43"" 4K OLED Smart TV Series 8 (2025)",electronics > televisions,Xiaomi,Xiaomi,,,xiaomi 43  4k oled smart tv series 8  2025,electronics   televisions,xiaomi,xiaomi,,,44.44444444444444,0
Xiaomi 25 Plus 128GB/4GB 5G Smartphone (2024),electronics > mobile phones,Xiaomi,Xiaomi,,,xiaomi 25 plus 128gb 4gb 5g smartphone  2024,electronics   mobile phones,xiaomi,xiaomi,,,72.0,0
"Audio-Technica Wireless On-Ear Headphones with Hi-Res & Multipoint (2024), 30h Battery",electronics > headphones,Audio-Technica,Audio-Technica,,,audio technica wireless on ear headphones with hi res   multipoint  2024  30h battery,electronics   headphones,audio technica,audio technica,,,62.5,0
Fossil Active 45mm Smartwatch (2024) with AMOLED & GPS,electronics > watches,Fossil,Fossil,,,fossil active 45mm smartwatch  2024  with amoled   gps,electronics   watches,fossil,fossil,,,51.61290322580645,0
"Samsung 85"" 8K LED Google TV Series 5 (2025)",electronics > televisions,Samsung,Samsung,,,samsung 85  8k led google tv series 5  2025,electronics   televisions,samsung,samsung,,,44.44444444444444,0
Infinix 22 Lite 64GB/6GB 5G Smartphone (2023),electronics > mobile phones,Infinix,Infinix,,,infinix 22 lite 64gb 6gb 5g smartphone  2023,electronics   mobile phones,infinix,infinix,,,72.0,0
"Sony Wireless In-Ear Headphones with Hi-Res & Spatial Audio (2024), 24h Battery",electronics > headphones,Sony,Sony,,,sony wireless in ear headphones with hi res   spatial audio  2024  24h battery,electronics   headphones,sony,sony,,,62.5,0
Samsung Adventure 42mm Smartwatch (2024) with Heart Rate & AMOLED,electronics > watches,Samsung,Samsung,,,samsung adventure 42mm smartwatch  2024  with heart rate   amoled,electronics   watches,samsung,samsung,,,45.16129032258065,0
"Sony 75"" 4K LED webOS Series 9 (2023)",electronics > televisions,Sony,Sony,,,sony 75  4k led webos series 9  2023,electronics   televisions,sony,sony,,,50.0,0
Apple 16 Max 512GB/12GB 5G Smartphone (2025),electronics > mobile phones,Apple,Apple,,,apple 16 max 512gb 12gb 5g smartphone  2025,electronics   mobile phones,apple,apple,,,100.0,0
"JBL Wireless Over-Ear Headphones with Low-Latency & Hi-Res (2025), 20h Battery",electronics > headphones,JBL,JBL,,,jbl wireless over ear headphones with low latency   hi res  2025  20h battery,electronics   headphones,jbl,jbl,,,59.25925925925925,0
Huawei Gen 8 47mm Smartwatch (2023) with GPS & SpO2,electronics > watches,Huawei,Huawei,,,huawei gen 8 47mm smartwatch  2023  with gps   spo2,electronics   watches,huawei,huawei,,,41.666666666666664,0
"Panasonic 75"" 8K OLED Smart TV Series 10 (2025)",electronics > televisions,Panasonic,Panasonic,,,panasonic 75  8k oled smart tv series 10  2025,electronics   televisions,panasonic,panasonic,,,44.44444444444444,0
OnePlus 12 Plus 512GB/4GB 5G Smartphone (2024),electronics > mobile phones,OnePlus,OnePlus,,,oneplus 12 plus 512gb 4gb 5g smartphone  2024,electronics   mobile phones,oneplus,oneplus,,,72.72727272727273,0
"Beats Wireless In-Ear Headphones with Multipoint & Hi-Res (2023), 40h Battery",electronics > headphones,Beats,Beats,,,beats wireless in ear headphones with multipoint   hi res  2023  40h battery,electronics   headphones,beats,beats,,,62.5,0
Coros Trail 44mm Smartwatch (2024) with SpO2 & ECG,electronics > watches,Coros,Coros,,,coros trail 44mm smartwatch  2024  with spo2   ecg,electronics   watches,coros,coros,,,44.44444444444444,0
"Vizio 65"" 8K Mini-LED Google TV Series 7 (2023)",electronics > televisions,Vizio,Vizio,,,vizio 65  8k mini led google tv series 7  2023,electronics   televisions,vizio,vizio,,,44.44444444444444,0
Motorola 15 Plus 512GB/8GB 5G Smartphone (2023),electronics > mobile phones,Motorola,Motorola,,,motorola 15 plus 512gb 8gb 5g smartphone  2023,electronics   mobile phones,motorola,motorola,,,72.0,0
"Anker Wireless On-Ear Headphones with Hi-Res & Multipoint (2024), 24h Battery",electronics > headphones,Anker,Anker,,,anker wireless on ear headphones with hi res   multipoint  2024  24h battery,electronics   headphones,anker,anker,,,62.5,0
Huawei Active 44mm Smartwatch (2025) with SpO2 & AMOLED,electronics > watches,Huawei,Huawei,,,huawei active 44mm smartwatch  2025  with spo2   amoled,electronics   watches,huawei,huawei,,,41.666666666666664,0
"Samsung 75"" 4K QLED Google TV Series 8 (2025)",electronics > televisions,Samsung,Samsung,,,samsung 75  4k qled google tv series 8  2025,electronics   televisions,samsung,samsung,,,44.44444444444444,0
Motorola 20 Pro 512GB/12GB 5G Smartphone (2024),electronics > mobile phones,Motorola,Motorola,,,motorola 20 pro 512gb 12gb 5g smartphone  2024,electronics   mobile phones,motorola,motorola,,,72.0,0
